Appareil suivi,consommation sur les deux années,"Type
"
Lave linge,208.6,"HUBLOT
"
Lave linge,385.6,"HUBLOT
"
Lave linge,121.2,"HUBLOT
"
Lave linge,882.7,"HUBLOT
"
Lave linge,106.1,"HUBLOT
"
Lave linge,112.1,"HUBLOT
"
Lave linge,29.8,"HUBLOT
"
Lave linge,80.0,"HUBLOT
"
Lave linge,199.8,"HUBLOT
"
Lave linge,102.19999999999999,"HUBLOT
"
Lave linge,116.6,"HUBLOT
"
Lave linge,77.9,"HUBLOT
"
Lave linge,421.6,"HUBLOT
"
Lave linge,251.20000000000002,"HUBLOT
"
Lave linge,212.1,"HUBLOT
"
Lave linge,224.3,"HUBLOT
"
Lave linge,492.4,"HUBLOT
"
Lave linge,323.9,"SÉCHANTE
"
Lave linge,17.1,"SÉCHANTE
"
Lave linge,76.0,"SÉCHANTE
"
Lave linge,416.7,"SÉCHANTE
"
Lave linge,84.4,"TOP
"
Lave linge,118.2,"TOP
"
Lave linge,182.2,"TOP
"
Lave linge,44.2,"TOP
"
Lave linge,160.0,"TOP
"
Lave linge,56.0,"TOP
"
Lave linge,67.0,"TOP
"
Lave linge,353.0,"TOP
"
Lave linge,154.0,"TOP
"
Lave linge,221.4,"TOP
"
Lave linge,264.9,"TOP
"
Lave linge,155.9,"TOP
"
Lave linge,114.19999999999999,"TOP
"
Lave linge,115.5,"TOP
"
Lave linge,100.6,"TOP
"
Lave linge,189.7,"TOP
"
Lave linge,78.4,"TOP
"
Lave linge,360.8,"TOP
"
Loisirs,1554.6999999999998,"Aquarium avec chauffage
"
Loisirs,1642.0,"Aquarium avec chauffage
"
Loisirs,90.30000000000001,"Aquarium juste pompe
"
Loisirs,75.1,"Balneo
"
Loisirs,36.599999999999994,"Lit Motorise
"
Loisirs,52.1,"Adoucisseur
"
Loisirs,28.200000000000003,"Adoucisseur
"
Mobilité_électrique,20.8,"VÉLO ÉLECTRIQUE
"
Mobilité_électrique,14.6,"VÉLO ÉLECTRIQUE
"
Mobilité_électrique,5.199999999999999,"VÉLO ÉLECTRIQUE
"
Mobilité_électrique,37.3,"VÉLO ÉLECTRIQUE
"
Mobilité_électrique,40.2,"VÉLO ÉLECTRIQUE
"
Nettoyage_sols,4.0,"ASPIRATEUR À MAIN
"
Nettoyage_sols,69.3,"ASPIRATEUR CENTRALISÉ
"
Nettoyage_sols,13.5,"ASPIRATEUR CENTRALISÉ
"
Nettoyage_sols,6.4,"ASPIRATEUR FILAIRE
"
Nettoyage_sols,30.7,"ASPIRATEUR FILAIRE
"
Nettoyage_sols,90.69999999999999,"ASPIRATEUR FILAIRE
"
Nettoyage_sols,10.5,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,18.4,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,8.6,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,6.6,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,1.7000000000000002,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,17.1,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,9.6,"ASPIRATEUR RECHARGEABLE
"
Nettoyage_sols,6.1,"ASPIRATEUR ROBOT
"
Nettoyage_sols,39.4,"ASPIRATEUR ROBOT
"
Nettoyage_sols,31.0,"ASPIRATEUR ROBOT
"
Nettoyage_sols,12.1,"ASPIRATEUR ROBOT
"
Nettoyage_sols,4.4,"NETTOYEUR VAPEUR
"
Périph_info_bureautique,24.5,"ASSISTANT VOCAL
"
Périph_Internet_réseaux,276.5,"SERVEUR
"
Périph_Internet_réseaux,152.5,"SERVEUR
"
Périph_Internet_réseaux,87.19999999999999,"SWITCH ETHERNET
"
Periph_multimedia,225.2,"DÉCODEUR
"
Periph_multimedia,227.6,"DÉCODEUR
"
Periph_multimedia,195.6,"DÉCODEUR
"
Periph_multimedia,15.9,"DÉCODEUR
"
Periph_multimedia,85.8,"DÉCODEUR
"
Periph_multimedia,1.2,"LECTEUR DVD OU BLU RAY
"
Periph_multimedia,2.0999999999999996,"LECTEUR DVD OU BLU RAY
"
Periph_multimedia,78.6,"LECTEUR DVD OU BLU RAY
"
Periph_multimedia,50.0,"LECTEUR DVD OU BLU RAY
"
Periph_multimedia,1.0,"LECTEUR DVD OU BLU RAY
"
Periph_multimedia,1.3,"LECTEUR DVD OU BLU RAY
"
Piscines,5033.1,"SPA
"
Piscines,3382.0,"HORS SOL
"
Piscines,474.8,"HORS SOL
"
Piscines,6820.5,"ENTERRÉE
"
Piscines,3728.0,"HORS SOL
"
Piscines,2736.0,"ENTERRÉE
"
Piscines,266.6,"HORS SOL
"
Plaques cuisson,199.10000000000002,"FONTE
"
Plaques cuisson,151.0,"INDUCTION
"
Plaques cuisson,173.2,"INDUCTION
"
Plaques cuisson,268.7,"INDUCTION
"
Plaques cuisson,316.0,"INDUCTION
"
Plaques cuisson,150.60000000000002,"INDUCTION
"
Plaques cuisson,518.2,"INDUCTION
"
Plaques cuisson,195.1,"INDUCTION
"
Plaques cuisson,282.1,"INDUCTION
"
Plaques cuisson,279.2,"INDUCTION
"
Plaques cuisson,34.8,"INDUCTION
"
Plaques cuisson,640.3,"INDUCTION
"
Plaques cuisson,101.4,"INDUCTION
"
Plaques cuisson,504.8,"INDUCTION
"
Plaques cuisson,340.79999999999995,"INDUCTION
"
Plaques cuisson,401.0,"INDUCTION
"
Plaques cuisson,224.2,"INDUCTION
"
Plaques cuisson,145.5,"INDUCTION
"
Plaques cuisson,149.0,"INDUCTION
"
Plaques cuisson,463.0,"INDUCTION
"
Plaques cuisson,151.7,"INDUCTION
"
Plaques cuisson,829.5,"INDUCTION
"
Plaques cuisson,652.7,"INDUCTION
"
Plaques cuisson,1.3,"MIXTE
"
Plaques cuisson,63.800000000000004,"MIXTE
"
Plaques cuisson,0.0,"MIXTE
"
Plaques cuisson,100.4,"VITROCÉRAMIQUE
"
Plaques cuisson,7.1,"VITROCÉRAMIQUE
"
Plaques cuisson,139.7,"VITROCÉRAMIQUE
"
Plaques cuisson,246.0,"VITROCÉRAMIQUE
"
Plaques cuisson,1132.8000000000002,"VITROCÉRAMIQUE
"
Plaques cuisson,307.9,"VITROCÉRAMIQUE
"
Plaques cuisson,228.5,"VITROCÉRAMIQUE
"
Plaques cuisson,317.8,"VITROCÉRAMIQUE
"
Plaques cuisson,1024.1999999999998,"VITROCÉRAMIQUE
"
Plaques cuisson,321.6,"VITROCÉRAMIQUE
"
Plaques cuisson,363.3,"VITROCÉRAMIQUE
"
Poêles,285.79999999999995,"POELE A GRANULES
"
Poêles,189.10000000000002,"POELE A GRANULES
"
Poêles,64.80000000000001,"POELE A GRANULES
"
Poêles,154.2,"POELE A GRANULES
"
Poêles,75.2,"POELE PÉTROLE
"
Pompes,9.1,"POMPE CAVE
"
Pompes,17.7,"POMPE FOSSE SCEPTIQUE
"
Pompes,208.3,"POMPE JARDIN
"
Repassage,0.0,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,61.6,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,72.69999999999999,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,46.3,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,21.299999999999997,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,64.0,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,29.5,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,22.9,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,46.4,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,72.1,"CENTRALE VAPEUR DE REPASSAGE
"
Repassage,55.7,"FER À REPASSER
"
Repassage,85.0,"FER À REPASSER
"
Santé,121.5,"APNESOMMEIL
"
Santé,50.0,"APNESOMMEIL
"
Sèche linge,1332.4,"CONDENSATION
"
Sèche linge,902.6,"CONDENSATION
"
Sèche linge,817.3,"CONDENSATION
"
Sèche linge,504.20000000000005,"CONDENSATION
"
Sèche linge,548.1,"CONDENSATION
"
Sèche linge,469.9,"CONDENSATION
"
Sèche linge,583.7,"CONDENSATION
"
Sèche linge,577.9,"CONDENSATION
"
Sèche linge,249.9,"CONDENSATION
"
Sèche linge,144.7,"CONDENSATION
"
Sèche linge,135.1,"CONDENSATION
"
Sèche linge,150.2,"CONDENSATION
"
Sèche linge,21.1,"CONDENSATION
"
Sèche linge,2390.5,"EVACUATION
"
Sèche linge,851.2,"EVACUATION
"
Sèche linge,831.6,"EVACUATION
"
Sèche linge,257.2,"EVACUATION
"
Sèche linge,320.9,"EVACUATION
"
Sèche linge,641.4000000000001,"POMPE À CHALEUR
"
Sèche linge,459.20000000000005,"POMPE À CHALEUR
"
Sèche linge,248.60000000000002,"POMPE À CHALEUR
"
Sécurité,264.0,"CAMÉRA WIFI
"
Sécurité,198.2,"PORTE OU PORTAIL AUTOMATIQUE
"
Sécurité,231.4,"PORTE OU PORTAIL AUTOMATIQUE
"
Sécurité,104.9,"PORTE OU PORTAIL AUTOMATIQUE
"
Sécurité,55.8,"PORTE OU PORTAIL AUTOMATIQUE
"
Sécurité,82.30000000000001,"VISIOPHONE
"
Sécurité,80.8,"VOLETS ROULANTS
"
Sécurité,35.3,"VOLETS ROULANTS
"
Sécurité,46.4,"VOLETS ROULANTS
"
Sécurité,5.5,"VOLETS ROULANTS
"
Tablettes_smartph,16.0,"TABLETTE
"
Tablettes_smartph,5.3,"TABLETTE
"
Téléviseurs,170.9,"PRINCIPAL
"
Téléviseurs,347.6,"PRINCIPAL
"
Téléviseurs,589.0,"PRINCIPAL
"
Téléviseurs,311.4,"PRINCIPAL
"
Téléviseurs,7.5,"PRINCIPAL
"
Téléviseurs,312.7,"PRINCIPAL
"
Téléviseurs,265.2,"PRINCIPAL
"
Téléviseurs,258.3,"PRINCIPAL
"
Téléviseurs,154.8,"PRINCIPAL
"
Téléviseurs,112.0,"PRINCIPAL
"
Téléviseurs,443.6,"PRINCIPAL
"
Téléviseurs,595.2,"PRINCIPAL
"
Téléviseurs,385.5,"PRINCIPAL
"
Téléviseurs,525.9,"PRINCIPAL
"
Téléviseurs,285.5,"PRINCIPAL
"
Téléviseurs,631.9,"PRINCIPAL
"
Téléviseurs,360.0,"PRINCIPAL
"
Téléviseurs,1465.8,"PRINCIPAL
"
Téléviseurs,177.1,"PRINCIPAL
"
Téléviseurs,151.9,"PRINCIPAL
"
Téléviseurs,696.0,"PRINCIPAL
"
Téléviseurs,344.7,"PRINCIPAL
"
Téléviseurs,220.20000000000002,"PRINCIPAL
"
Téléviseurs,853.9,"PRINCIPAL
"
Téléviseurs,525.6,"PRINCIPAL
"
Téléviseurs,263.0,"PRINCIPAL
"
Téléviseurs,220.8,"PRINCIPAL
"
Téléviseurs,922.7,"PRINCIPAL
"
Téléviseurs,205.0,"PRINCIPAL
"
Téléviseurs,299.4,"PRINCIPAL
"
Téléviseurs,315.1,"PRINCIPAL
"
Téléviseurs,164.89999999999998,"PRINCIPAL
"
Téléviseurs,419.7,"PRINCIPAL
"
Téléviseurs,201.10000000000002,"PRINCIPAL
"
Téléviseurs,229.0,"PRINCIPAL
"
Téléviseurs,366.5,"PRINCIPAL
"
Téléviseurs,267.6,"PRINCIPAL
"
Téléviseurs,74.0,"PRINCIPAL
"
Téléviseurs,320.7,"PRINCIPAL
"
Téléviseurs,222.8,"PRINCIPAL
"
Téléviseurs,234.0,"PRINCIPAL
"
Téléviseurs,140.0,"PRINCIPAL
"
Téléviseurs,332.6,"PRINCIPAL
"
Téléviseurs,76.1,"PRINCIPAL
"
Téléviseurs,680.7,"PRINCIPAL
"
Téléviseurs,119.6,"PRINCIPAL
"
Téléviseurs,941.7,"PRINCIPAL
"
Téléviseurs,216.0,"PRINCIPAL
"
Téléviseurs,188.3,"PRINCIPAL
"
Téléviseurs,241.89999999999998,"PRINCIPAL
"
Téléviseurs,642.7,"PRINCIPAL
"
Téléviseurs,821.8,"PRINCIPAL
"
Téléviseurs,230.9,"PRINCIPAL
"
Téléviseurs,200.2,"PRINCIPAL
"
Téléviseurs,419.7,"PRINCIPAL
"
Téléviseurs,266.5,"PRINCIPAL
"
Téléviseurs,8.600000000000001,"PRINCIPAL
"
Téléviseurs,451.6,"PRINCIPAL
"
Téléviseurs,163.4,"PRINCIPAL
"
Téléviseurs,786.6,"PRINCIPAL
"
Téléviseurs,453.7,"PRINCIPAL
"
Téléviseurs,233.5,"PRINCIPAL
"
Téléviseurs,56.8,"PRINCIPAL
"
Téléviseurs,46.3,"PRINCIPAL
"
Téléviseurs,228.6,"PRINCIPAL
"
Téléviseurs,55.2,"PRINCIPAL
"
Téléviseurs,254.5,"PRINCIPAL
"
Téléviseurs,87.1,"PRINCIPAL
"
Téléviseurs,95.3,"PRINCIPAL
"
Téléviseurs,403.79999999999995,"PRINCIPAL
"
Téléviseurs,254.0,"PRINCIPAL
"
Téléviseurs,306.29999999999995,"PRINCIPAL
"
Téléviseurs,789.2,"PRINCIPAL
"
Téléviseurs,918.0,"PRINCIPAL
"
Téléviseurs,71.2,"SECONDAIRE
"
Téléviseurs,24.4,"SECONDAIRE
"
Téléviseurs,83.2,"SECONDAIRE
"
Téléviseurs,49.1,"SECONDAIRE
"
Téléviseurs,208.1,"SECONDAIRE
"
Téléviseurs,10.3,"SECONDAIRE
"
Téléviseurs,59.1,"SECONDAIRE
"
Téléviseurs,286.70000000000005,"SECONDAIRE
"
Téléviseurs,47.8,"SECONDAIRE
"
Téléviseurs,40.0,"SECONDAIRE
"
Téléviseurs,311.0,"SECONDAIRE
"
Téléviseurs,19.4,"SECONDAIRE
"
Téléviseurs,8.2,"SECONDAIRE
"
Téléviseurs,829.0,"SECONDAIRE
"
Téléviseurs,79.5,"SECONDAIRE
"
Téléviseurs,311.1,"SECONDAIRE
"
Téléviseurs,115.9,"SECONDAIRE
"
Téléviseurs,92.30000000000001,"SECONDAIRE
"
Téléviseurs,102.19999999999999,"SECONDAIRE
"
Téléviseurs,77.5,"SECONDAIRE
"
Téléviseurs,33.1,"SECONDAIRE
"
